State Name,Latitude,Longitude
Chhattisgarh,21.6637359,81.8406351
Madhya Pradesh,23.8143419,77.5340719
Andhra Pradesh,15.9240905,80.1863809
Telangana,17.8495919,79.1151663
Karnataka,14.5203896,75.7223521
Tamil Nadu,10.9094334,78.3665347
Maharashtra,18.9068356,75.6741579
Gujarat,22.3850051,71.745261
Rajasthan,26.8105777,73.7684549
Punjab,30.9293211,75.5004841
Haryana,29.0,76.0
Uttar Pradesh,27.1303344,80.859666
Uttarakhand,30.0417376,79.089691
Assam,26.4073841,93.2551303
Himachal Pradesh,31.9292352,77.1828462
Kerala,10.3528744,76.5120396
Orissa,20.5431241,84.6897321
West Bengal,22.9964948,87.6855882
Bihar,25.6440845,85.906508
Jharkhand,23.4559809,85.2557301
